Nom,Note Alex,Texte,URL,date de mise à jour n8n,Étiquettes
,,,https://www.worldlabs.ai,,
,,,https://www.johanns.furniture/webshop/p/mono-teleskopregal?utm_medium=paid&utm_source=ig&utm_id=120241379422990419&utm_content=120241379424270419&utm_term=120241379423160419&utm_campaign=120241379422990419&fbclid=PAZnRzaAQg2eJleHRuA2FlbQEwAGFkaWQBqy7l0B5g83NydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp4YnKWgOwEztbnEhEfXVHpC4loorff7dc8yOIJ0NXUCUVdwDeSMWFmKB3lOd_aem_w1D9kscpVJJVnUY7F5mrbA,,
,,,https://geneve.sous-surveillance.net/spip.php?rubrique1,,
,,,https://anytype.io/,,
,,,https://www.djoid.io/?utm_source=facebook&utm_medium=paid&utm_campaign=mar2026-worldwide&utm_content=obsessed-curation-v2&utm_id=120247776018380011&utm_term=120247776019340011&fbclid=PAdGRleAQr0JtleHRuA2FlbQEwAGFkaWQBqzS3Fz22e3NydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp90w5XrUE4mJTMa3ayhP6haYYIMMvSCGAz7bMaxWOr7CcdkQaK3RwpffJhjF_aem_LL74K3HYSrPJWZFk2Rn9UQ,,
,,,https://www.lindengledhill.com/,,
,Julie rencontrée lors d’un call pour AI4good chez DORIER,,https://www.artpoint.fr/fr,,
,,,https://omniscient-app.com/,,
,,,https://www.lucaszito.com/,,
,,,https://calculatingempires.net,,
Vladan Joler & Kate Crawford — Calculating Empires,"Artistes découverts pour le dossier AI for Good 2026. Lion d'Argent, Biennale d'Architecture de Venise 2025. Fresque de 24 m — 500 ans de technologie et pouvoir. Acquis par Rijksmuseum Twenthe. Prix vérifié : https://www.labiennale.org/en/news/awards-biennale-architettura-2025",,https://calculatingempires.net/,,"ai, artiste"
Marta Revuelta — Media Artist,Artiste découverte pour le dossier AI for Good 2026. AI Facial Profiling (profilage biométrique) + Droning V2 (armes autonomes). Basée à Genève. Contact : mailto:martarevuelta@me.com. Collab technique : Laurent Weingart.,,https://revuelta.ch,,"ai, artiste"
Martyna Marciniak — Anatomy of Non-Fact,"Artiste découverte pour le dossier AI for Good 2026. Award of Distinction, Prix Ars Electronica 2025 (catégorie Artificial Life & Intelligence). Dissection forensique des deepfakes. Résidente CERN Collide 2025 mais pour un autre projet. Prix vérifié : https://calls.ars.electronica.art/2025/prix/winners/19504/",,https://www.martyna.digital/projects/anatomy-of-non-fact-chapter-1,,"ai, artiste"
Sarah Ciston — AI War Cloud Database,Artiste découverte pour le dossier AI for Good 2026. Grand Prix STARTS 2025 (Commission européenne). Cartographie interactive reliant systèmes IA militaires et outils du quotidien. Prix vérifié : https://ars.electronica.art/starts-prize/en/ai-war-cloud-database/,,https://aiwar.cloud/,,"ai, artiste"
Adam Harvey — Anti-Fragile Sycophants,Artiste découvert pour le dossier AI for Good 2026. Essai visuel sur la censure dans les modèles d'IA générative. Créateur de CV Dazzle (2010). Chief Technologist chez Tech 4 Tracing (2025). Pas de prix spécifique pour cette œuvre.,,https://adam.harvey.studio/anti-fragile-sycophants/,,"ai, artiste"
Panaviscope — Musicien & Vidéaste,Artiste découvert pour le dossier AI for Good 2026. Musicien genevois intégrant l'IA générative dans sa pratique. Sélectionné par OpenAI pour le lancement de Sora. Vidéo : https://www.youtube.com/watch?v=ZAOSfZyoaus,,https://panaviscope.com,,"ai, artiste"
,,,https://www.superlightingled.com,,
,,,https://github.com/30350n/pcb2blender,,
,,,https://strudel.cc/workshop/first-notes/,,
,,,https://hydra.ojack.xyz/?sketch_id=celeste_1,,
,,,https://www.lovehulten.com/,,
,,,https://elluba.com,,
,,,https://hek.ch/en/collection/artworks/praying-for-my-haters/,,
,,,https://x.com/LeMoonSynth,,
,,,,,
,,,https://x.com/aiordieshow,,
,,,https://x.com/niceaunties,,
,,,https://x.com/jordandchesney,,
,,,https://app.pixverse.ai,,
,,,https://khyatitrehan.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZnRzaATKpbZwZG9mAmV4dG4DYWVtAjExAHNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp8f0i11f7f84be88aI9egF9utewpdWl_hV-hFVO7NZwhUlRH_v7Bqyy-Z2zq_aem_mqqU7aDK-3u9sR-ZC4wF_w,,
,,,https://github.com/awesomedata/awesome-public-datasets?mcp_token=eyJwaWQiOjM5OTQ2OTAsInNpZCI6NDE2ODM2MjQ5LCJheCI6Ijk3MDkzMTZmZmM3MGQ5NzVkZTViNjhiYTUwNGM3MjM3IiwidHMiOjE3ODYwODg0NjgsImV4cCI6MTc4ODUwNzY2OH0.cLqJubYXWeqFUhJf4vSq8j88_hTmhrpE78A_vfEvyYY#energy,,
,,,https://ressourcerie.forge.apps.education.fr/?recherche=podcast,,
,,,https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,,
